,Attrition,Department,JobLevel,JobRole,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Salary
0,No,Sales,1,Healthcare Representative,131160,11,1,0,3.0,4.0,2.0,3,3,high
1,Yes,Research & Development,1,Research Scientist,41890,23,5,1,3.0,2.0,4.0,2,4,low
2,No,Research & Development,4,Sales Executive,193280,15,5,0,2.0,2.0,1.0,3,3,high
3,No,Research & Development,3,Human Resources,83210,11,8,7,4.0,4.0,3.0,2,3,medium
4,No,Research & Development,1,Sales Executive,23420,12,6,0,4.0,1.0,3.0,3,3,low
5,No,Research & Development,4,Research Director,40710,13,7,7,3.0,2.0,2.0,3,3,low
6,Yes,Research & Development,2,Sales Executive,58130,20,0,0,1.0,3.0,1.0,3,4,medium
7,No,Research & Development,2,Sales Executive,31430,22,0,0,1.0,2.0,3.0,3,4,low
8,No,Research & Development,3,Laboratory Technician,20440,21,9,7,2.0,4.0,3.0,3,4,low
9,No,Research & Development,4,Laboratory Technician,134640,13,6,1,2.0,1.0,3.0,3,3,high
10,No,Research & Development,2,Laboratory Technician,79910,13,20,4,3.0,4.0,3.0,2,3,medium
11,No,Research & Development,1,Laboratory Technician,33770,12,15,10,2.7236031927023947,4.0,3.0,3,3,low
12,No,Research & Development,1,Sales Executive,55380,17,36,4,4.0,1.0,3.0,3,3,medium
13,Yes,Research & Development,1,Research Scientist,57620,11,10,9,1.0,2.0,2.0,2,3,medium
14,No,Research & Development,1,Manufacturing Director,25920,14,5,0,4.0,4.0,2.0,3,3,low
15,No,Research & Development,2,Healthcare Representative,53460,11,5,0,3.0,4.0,4.0,3,3,medium
16,No,Research & Development,1,Laboratory Technician,42130,12,3,1,4.0,3.0,4.0,2,3,low
17,No,Research & Development,2,Sales Executive,41270,13,5,0,1.0,4.0,3.0,3,3,low
18,No,Sales,1,Sales Representative,24380,16,7,6,2.0,2.0,2.0,2,3,low
19,No,Research & Development,1,Manager,68700,11,8,7,1.0,1.0,3.0,3,3,medium
20,No,Research & Development,2,Laboratory Technician,104470,18,6,1,3.0,2.0,1.0,3,3,high
21,No,Sales,1,Research Scientist,96670,23,10,1,1.0,2.0,2.0,2,4,medium
22,No,Research & Development,2,Research Scientist,21480,11,5,1,3.0,3.0,2.0,3,3,low
23,No,Research & Development,1,Manufacturing Director,89260,14,20,11,2.0,3.0,3.0,1,3,medium
24,No,Research & Development,1,Laboratory Technician,65130,11,10,0,2.0,4.0,2.0,3,3,medium
25,No,Research & Development,1,Research Scientist,67990,11,10,0,2.0,4.0,3.0,3,3,medium
26,No,Research & Development,1,Manager,162910,22,5,3,1.0,1.0,3.0,3,4,high
27,No,Sales,1,Research Scientist,27050,11,17,5,4.0,4.0,3.0,3,3,low
28,Yes,Research & Development,2,Research Scientist,103330,14,1,0,4.0,3.0,1.0,2,3,high
29,No,Sales,1,Manager,44480,12,2,1,4.0,4.0,3.0,2,3,low
